name,isSafe,isPE,amountOfImportedDLL,advapi32.dll,user32.dll,ws2_32.dll,wininet.dll,kernel32.dll,shell32.dll,SizeOfCode,SizeOfInitializedData,SizeOfUninitializedData,AddressOfEntryPoint,ImageBase,MajorSubsystemVersion,NumberOfRvaAndSizes,SizeOfImage,SectionAlignment,FileAlignment,seemsPacked,amountOfSuspiciousSections,amountOfZeroEntropy,lowestEntropy,highestEntropy,NumberOfSections,TimeDateStamp,PointerToSymbolTable,NumberOfSymbols,SizeOfOptionalHeader,Characteristics,relocationsOverlapEntrypoint,sequentialRelocs
538,0,1,7,1,1,1,0,1,0,151552,65536,0,83722,1677721600,4,16,237568,4096,4096,0,0,1,1.7798165324980775,6.643934285162367,5,1331945384,0,0,224,8450,0,0
3660,0,1,6,1,1,0,0,1,1,126464,14336,0,5472,4194304,4,16,155648,4096,512,0,2,2,3.471078070258979,6.244930254004855,6,1336281870,0,0,224,270,0,95
5978,0,1,4,0,1,0,0,1,0,28672,442368,253952,7012,4259840,4,16,999424,4096,4096,1,0,0,4.19189111895225,7.826727758143784,4,1335291770,0,0,224,271,0,0
3841,0,1,4,0,1,0,0,1,0,36864,393216,0,5648,4194304,4,16,823296,4096,4096,1,0,0,3.778124313387289,7.731794480311566,4,1344542973,0,0,224,271,0,0
6528,0,1,2,0,0,0,0,1,0,12288,0,0,13612,4194304,5,16,1114112,4096,512,1,2,0,3.7762650355563245,7.9968859622079815,3,1351107787,0,0,224,259,0,0
4728,0,1,4,0,1,0,0,1,0,12288,397312,0,6355,4194304,4,16,827392,4096,4096,1,0,0,4.967665588243028,7.976496146431395,4,1342376926,0,0,224,271,0,0
1972,0,1,4,0,1,0,0,1,0,284672,26624,0,282192,4194304,4,16,323584,4096,512,1,2,0,0.16032872589902852,7.5671309073771,6,1334337904,0,0,224,270,0,762
271,0,1,4,0,1,0,0,1,0,36864,389120,0,5728,4194304,4,16,823296,4096,4096,1,0,0,0.7096583634174287,7.9048683222646225,4,1343849227,0,0,224,271,0,0
4986,0,1,4,0,1,0,0,1,0,285184,26624,0,282720,4194304,4,16,327680,4096,512,1,2,0,0.16032872589902852,7.560919950687387,6,1334550314,0,0,224,270,0,762
6803,0,1,7,1,1,1,0,1,0,143360,61440,0,77738,1677721600,4,16,225280,4096,4096,0,0,0,2.6024222637913783,6.64316075947628,5,1333755659,0,0,224,8450,0,439
5088,0,1,4,0,1,0,0,1,0,36864,389120,0,5728,4194304,4,16,823296,4096,4096,1,0,0,0.70964081184598,7.90515616660098,4,1343849227,0,0,224,271,0,0
395,0,1,4,0,1,0,0,1,0,8704,433152,0,6212,4194304,4,16,819200,4096,512,1,0,0,0.08952421866257136,7.61880828284771,4,1305462840,0,0,224,271,0,0
2735,0,1,4,0,1,0,0,1,0,5632,16896,0,789692,4259840,4,16,819200,4096,512,0,0,0,0.40554835374125364,6.675036567184178,4,1319571264,0,0,224,271,0,0
5682,0,1,3,0,1,0,0,1,0,12288,376832,0,5592,4194304,4,16,823296,4096,4096,1,0,0,5.961753390181918,7.922733770686714,4,1343718681,0,0,224,271,0,0
6667,0,1,2,0,0,0,0,1,0,12288,0,0,13387,4194304,5,16,3866624,4096,512,1,2,0,3.826627570444649,7.999646639395092,3,1351107787,0,0,224,259,0,0
2408,0,1,4,1,1,0,0,1,0,113152,15872,0,109808,4194304,4,16,155648,4096,512,0,5,0,0.16032872589902852,7.080746107555177,9,1335044424,0,0,224,270,0,301
2576,0,1,5,0,1,0,1,1,0,36864,393216,0,5776,4194304,4,16,823296,4096,4096,1,0,0,3.8963350018988967,7.736412255574222,4,1344630696,0,0,224,271,0,0
3161,0,1,2,0,0,0,0,0,0,60928,371200,0,427070,65536,5,16,433664,512,512,1,1,0,0.2672130101558982,7.988487935621271,6,1213800291,0,0,224,258,0,77
1940,0,1,6,1,0,0,0,1,0,8704,27648,0,9441,4194304,5,16,49152,4096,512,0,0,0,4.415599964165836,5.8329951346343965,4,1231903272,0,0,224,259,0,0
4583,0,1,7,1,1,1,0,1,0,143360,61440,0,77738,1677721600,4,16,225280,4096,4096,0,0,1,1.522963946875635,6.644198969446351,5,1333985321,0,0,224,8450,0,0
651,0,1,7,1,1,1,0,1,0,147456,61440,0,79210,1677721600,4,16,229376,4096,4096,0,0,0,2.609791888627327,6.613959051261301,5,1324175384,0,0,224,8450,0,482
6930,0,1,3,0,1,0,0,1,0,20480,372736,0,6427,4194304,4,16,782336,4096,4096,1,0,0,1.9950142525271006,7.946467665946054,4,1342024429,0,0,224,271,0,0
6038,0,1,6,1,0,0,0,1,0,8704,29184,0,9441,4194304,5,16,49152,4096,512,0,0,0,4.415599964165836,5.8329951346343965,4,1199458220,0,0,224,259,0,0
4604,0,1,4,0,1,0,0,1,0,36864,393216,0,5648,4194304,4,16,823296,4096,4096,1,0,0,3.804696409771569,7.731282534476778,4,1344542973,0,0,224,271,0,0
5264,0,1,4,0,1,0,0,1,0,57344,425984,0,7408,4194304,4,16,823296,4096,4096,1,0,0,4.074884655145851,7.694364795171503,4,1345194953,0,0,224,271,0,0
930,0,1,5,0,1,0,0,1,1,24576,420539,397312,6469,4259840,4,16,856064,4096,4096,1,0,0,2.6636305836764183,7.6390797608279755,4,1333049649,0,0,224,271,0,0
6537,0,1,4,0,1,0,0,1,0,20480,409600,233472,5536,4259840,4,16,987136,4096,4096,1,0,0,3.8072317617062184,7.85490400577666,4,1334914772,0,0,224,271,0,0
3164,0,1,7,1,1,1,0,1,0,151552,65536,0,84506,1677721600,4,16,237568,4096,4096,0,0,0,0.013126943721219527,6.667172839607621,5,1332481582,0,0,224,8450,0,0
6753,0,1,7,1,1,1,0,1,0,143360,61440,0,77738,1677721600,4,16,225280,4096,4096,0,0,1,1.517626929391407,6.643268331165142,5,1333758488,0,0,224,8450,0,0
3137,0,1,2,0,1,0,0,1,0,164352,12288,0,142165,4194304,5,16,188416,4096,512,1,0,0,3.4802075378080133,7.899731820757057,4,1307786444,0,0,224,258,0,174
3031,0,1,2,1,0,0,0,1,0,2048,92160,0,4880,4194304,4,16,106496,4096,512,1,0,0,2.076710866356221,7.528112749772886,4,1332542402,0,0,224,270,0,1
4912,0,1,4,1,1,0,0,1,0,15360,111104,0,6000,4194304,4,16,147456,4096,512,0,3,3,2.617643850195868,7.282780142165259,7,1337955609,0,0,224,270,0,0
5841,0,1,2,1,0,0,0,1,0,2048,93184,0,4128,4194304,4,16,110592,4096,512,1,1,1,1.9411925072141014,7.71244609159409,5,1332620389,0,0,224,270,0,2
5280,0,1,3,1,0,0,0,1,0,161280,9728,0,4096,4194304,5,16,221184,4096,512,1,5,0,0.43710972513537405,7.88922342107814,9,1295047889,0,0,224,258,0,148
6410,0,1,4,0,1,0,0,1,0,190976,0,0,146979,4194304,5,16,241664,4096,512,0,1,0,5.937870231249831,6.851160776679696,5,1307308631,0,0,224,258,0,91
2097,0,1,7,1,1,1,0,1,0,143360,61440,0,77738,1677721600,4,16,225280,4096,4096,0,0,0,2.6080500521801606,6.64371415471065,5,1333759195,0,0,224,8450,0,439
2513,0,1,2,0,0,0,0,1,0,16384,385024,0,6504,4194304,4,16,782336,4096,4096,1,0,0,3.058847763136919,7.808706670830907,4,1341255872,0,0,224,271,0,0
877,0,1,4,0,1,0,0,1,0,5632,372224,0,5372,4194304,4,16,823296,4096,512,1,0,0,0.06262444783142707,7.914346689083008,4,1326871294,0,0,224,271,0,0
5301,0,1,2,1,0,0,0,1,0,2048,256000,0,4128,4194304,4,16,274432,4096,512,1,1,1,1.9411925072141014,7.729709990142008,5,1332757238,0,0,224,270,0,2
3287,0,1,3,0,1,0,0,1,0,32768,405504,376832,6708,4259840,4,16,819200,4096,4096,1,0,0,3.967248013389364,7.824675539014373,4,1336033167,0,0,224,271,0,0
6228,0,1,4,0,1,0,0,1,0,5632,387584,0,5212,4194304,4,16,823296,4096,512,1,0,1,4.07240291527501,7.852420434771026,4,1326871294,0,0,224,271,0,0
6636,0,1,3,1,1,0,0,1,0,43008,120320,0,4096,4194304,4,16,208896,4096,512,0,9,9,0.7084378349416649,6.540570939738326,12,1339837272,0,0,224,270,0,0
851,0,1,6,1,1,0,0,1,0,169472,37888,0,80451,4194304,5,16,229376,4096,512,0,3,0,0.9437780566074883,6.608868777824585,7,1332974482,0,0,224,258,0,267
1839,0,1,3,1,0,0,0,1,0,102912,5632,0,110256,4194304,4,16,122880,4096,512,0,0,0,1.661304313284645,7.138623781350796,4,1335480041,0,0,224,270,0,2
2665,0,1,4,0,1,0,1,1,0,36864,393216,0,5776,4194304,4,16,823296,4096,4096,1,0,0,3.9306103041480265,7.735910214028324,4,1344673277,0,0,224,271,0,0
2454,0,1,4,0,1,0,0,1,0,5632,365056,0,5344,4194304,4,16,888832,4096,512,1,0,1,4.060068526903002,7.9263132812285075,4,0,0,0,224,271,0,0
1791,0,1,6,0,0,0,0,1,0,83456,310272,0,28668,4194304,5,16,1048576,4096,512,1,0,0,3.925368717148328,7.909197588879539,5,1173804791,0,0,224,258,0,9
270,0,1,6,0,1,0,0,1,0,32768,466944,4096,8020,4259840,4,16,819200,4096,4096,0,1,1,4.246433195949993,7.196154094505275,5,1335900359,0,0,224,271,0,0
4464,0,1,2,0,1,0,0,1,0,164352,12288,0,142165,4194304,5,16,188416,4096,512,1,0,0,3.4802075378080133,7.900680681316504,4,1307786444,0,0,224,258,0,174
3547,0,1,5,1,1,0,0,1,0,94208,294382,405504,76383,4259840,4,16,815104,4096,4096,1,0,0,4.119349443815889,7.776352237143111,4,1332493366,0,0,224,271,0,0
5238,0,1,9,1,1,1,1,1,0,434176,176128,0,302909,268435456,4,16,626688,4096,4096,0,0,0,3.4191523117973257,7.952777515647324,5,1214113603,0,0,224,8450,0,1343
5615,0,1,4,1,0,0,0,1,0,4096,349544,450560,4637,4194304,4,16,819200,4096,4096,1,0,0,0.7327050602348165,7.758477281342426,4,1331408674,0,0,224,271,0,0
2860,0,1,3,0,1,0,0,1,0,36864,380928,0,5584,4194304,4,16,823296,4096,4096,1,0,0,0.7099474657339366,7.903759947281314,4,1343978785,0,0,224,271,0,0
5873,0,1,2,0,0,0,0,0,0,60928,371200,0,427070,65536,5,16,433664,512,512,1,1,0,0.2677012914058982,7.988138875113598,6,1213803033,0,0,224,258,0,77
3201,0,1,4,0,1,0,0,1,0,284672,26624,0,282192,4194304,4,16,323584,4096,512,1,2,0,0.16032872589902852,7.567036998289318,6,1334379004,0,0,224,270,0,762
4378,0,1,7,1,1,0,0,1,1,122880,9728,0,124016,4194304,4,16,155648,4096,512,0,3,0,0.16032872589902852,7.037783406358708,7,1352288295,0,0,224,270,0,155
927,0,1,4,0,1,0,0,1,0,36864,380928,0,5568,4194304,4,16,823296,4096,4096,1,0,0,6.121317118172966,7.907013751552149,4,1344425924,0,0,224,271,0,0
6614,0,1,4,0,1,0,0,1,0,12288,397312,0,6323,4194304,4,16,827392,4096,4096,1,0,0,4.980280635290733,7.9762905734762635,4,1342351835,0,0,224,271,0,0
2732,0,1,3,0,1,0,0,1,0,24576,389120,0,6467,4194304,4,16,827392,4096,4096,1,0,0,2.1016475556499272,7.974934303050257,4,1342161837,0,0,224,271,0,0
3078,0,1,4,0,1,0,0,1,0,20480,409600,233472,5536,4259840,4,16,987136,4096,4096,1,0,0,3.8072317617062184,7.863460195999062,4,1334914772,0,0,224,271,0,0
3895,0,1,2,0,1,0,0,1,0,161280,13312,0,4096,4194304,5,16,266240,4096,512,1,5,0,0.43710972513537405,7.901346285729486,9,1305524318,0,0,224,258,1,198
5468,0,1,7,0,1,0,0,1,0,156160,232960,0,22320,4194304,5,16,929792,4096,512,1,0,0,4.849717259521517,7.909449866647296,5,1150233719,0,0,224,258,0,4
4117,0,1,3,1,0,0,0,1,0,2048,91648,0,4640,4194304,4,16,110592,4096,512,1,0,0,2.006387977875609,7.756757606191394,5,1332862845,0,0,224,270,0,2
6617,0,1,3,1,0,0,0,1,0,86016,242655,454656,82832,4259840,4,16,802816,4096,4096,1,0,0,3.2313773115485698,7.945220124650117,4,1331893517,0,0,224,271,0,0
3294,0,1,5,1,1,0,0,1,0,92160,2048,0,4720,4194304,4,16,106496,4096,512,1,0,0,3.0488669379629627,7.630826018881286,3,1333443616,0,0,224,270,0,2
1695,0,1,7,1,1,1,0,1,0,143360,61440,0,77738,1677721600,4,16,225280,4096,4096,0,0,1,1.5220971772777936,6.643736200190922,5,1333757781,0,0,224,8450,0,0
6935,0,1,3,1,0,0,0,1,0,102912,5632,0,110208,4194304,4,16,122880,4096,512,0,0,0,1.5771066802569238,7.1326438490134585,4,1335372032,0,0,224,270,0,2
3114,0,1,6,0,1,0,0,1,1,20480,402754,417792,6137,4259840,4,16,856064,4096,4096,1,0,0,6.6394670890457705,7.698279333045589,4,1333397172,0,0,224,271,0,0
2290,0,1,4,0,1,0,0,1,0,20480,419138,401408,6109,4259840,4,16,856064,4096,4096,1,0,0,6.627357924838374,7.56976582183139,4,1333306672,0,0,224,271,0,0
4300,0,1,2,0,0,0,0,0,0,60928,371200,0,427070,65536,5,16,433664,512,512,1,1,0,0.2672130101558982,7.988944473579626,6,1213804776,0,0,224,258,0,76
2259,0,1,2,0,0,0,0,1,0,20480,389120,212992,5357,4259840,4,16,987136,4096,4096,1,0,0,3.646835505920968,7.896437101544859,4,1334989131,0,0,224,271,0,0
4019,0,1,4,1,1,0,0,1,0,113152,15872,0,109808,4194304,4,16,155648,4096,512,0,5,0,0.16032872589902852,7.080735804173532,9,1335128459,0,0,224,270,0,301
5079,0,1,7,1,1,1,0,1,0,143360,61440,0,77738,1677721600,4,16,225280,4096,4096,0,0,1,1.5186281682213334,6.644070165747287,5,1333985043,0,0,224,8450,0,0
4252,0,1,2,0,1,0,0,1,0,20480,389120,0,6231,4194304,4,16,782336,4096,4096,1,0,0,0.8875997383640329,7.964575387926551,4,1341605171,0,0,224,271,0,0
