name,isPE,amountOfImportedDLL,advapi32.dll,user32.dll,ws2_32.dll,wininet.dll,kernel32.dll,shell32.dll,SizeOfCode,SizeOfInitializedData,SizeOfUninitializedData,AddressOfEntryPoint,ImageBase,MajorSubsystemVersion,NumberOfRvaAndSizes,SizeOfImage,SectionAlignment,FileAlignment,seemsPacked,amountOfSuspiciousSections,amountOfZeroEntropy,lowestEntropy,highestEntropy,NumberOfSections,TimeDateStamp,PointerToSymbolTable,NumberOfSymbols,SizeOfOptionalHeader,Characteristics,relocationsOverlapEntrypoint,sequentialRelocs
1952,1,2,1,0,0,0,1,0,94208,307678,491520,76217,4259840,4,16,913408,4096,4096,1,0,0,3.816399394457816,7.769359088218244,4,1332535995,0,0,224,271,0,0
1953,1,4,0,1,0,0,1,0,0,16384,0,11054,4194304,4,16,28672,512,512,0,0,0,0.8245834051242401,6.203359047442031,4,1392929323,3,0,224,271,0,0
1954,1,2,0,1,0,0,1,0,12288,389120,0,5528,4194304,4,16,823296,4096,4096,1,0,0,6.3763511688449075,7.8201956889040005,4,1343465799,0,0,224,271,0,0
1955,1,7,1,1,1,0,1,0,143360,61440,0,78314,1694498816,4,16,225280,4096,4096,0,0,0,2.6083046759428417,6.664905465728143,5,1334845516,0,0,224,8450,0,423
1956,1,11,1,1,0,0,1,0,9728,96256,0,11274,4194304,5,16,135168,4096,512,1,1,0,0.06116285224115448,7.965963938099232,5,1343925362,0,0,224,258,0,2
1957,1,4,0,1,0,0,1,0,12288,397312,0,6323,4194304,4,16,827392,4096,4096,1,0,0,4.973998823784681,7.976116146603138,4,1342351835,0,0,224,271,0,0
1958,1,6,0,1,0,0,1,0,9216,14336,0,9515,4194304,6,16,36864,4096,512,0,0,0,2.755519786393595,5.493942686853346,5,1343345674,0,0,224,290,0,329
1959,1,4,0,1,0,0,1,0,165888,12288,0,92126,4194304,5,16,192512,4096,512,1,1,0,2.7442196729500874,7.776385370268341,4,1337382184,0,0,224,258,0,190
1960,1,7,1,1,0,0,1,0,165888,39424,0,98338,4194304,5,16,225280,4096,512,0,2,0,1.309136702784461,6.5985220015836346,6,1339791514,0,0,224,258,0,257
1961,1,2,1,0,0,0,1,0,94208,307678,491520,76217,4259840,4,16,913408,4096,4096,1,0,0,3.8067363487314534,7.768971403261169,4,1332576541,0,0,224,271,0,0
1962,1,4,1,1,0,0,1,0,94208,273902,425984,76367,4259840,4,16,815104,4096,4096,1,0,0,4.025047170111865,7.77062306976031,4,1332442873,0,0,224,271,0,0
1963,1,2,0,0,0,0,0,0,60928,371200,0,427070,65536,5,16,433664,512,512,1,1,0,0.2667247289058982,7.988312832030488,6,1213897038,0,0,224,258,0,77
1964,1,4,0,1,0,0,1,0,20480,479232,0,6355,4194304,4,16,827392,4096,4096,1,0,0,2.0042178204381007,7.9761212748137105,4,1342254043,0,0,224,271,0,0
1965,1,4,0,1,0,0,1,0,23040,136704,0,16366,4194304,5,16,258048,4096,512,1,4,0,0.020393135236084953,7.991959195462039,8,1335945737,0,0,224,258,0,108
1966,1,2,1,0,0,0,1,0,2048,92160,0,4880,4194304,4,16,106496,4096,512,1,0,0,2.076710866356221,7.527969357189008,4,1332536396,0,0,224,270,0,1
1967,1,4,0,1,0,0,1,0,12288,393216,0,6248,4194304,4,16,782336,4096,4096,1,0,0,4.6414808480222725,7.810841318196274,4,1341495409,0,0,224,271,0,0
1968,1,21,1,1,0,0,1,1,17408,23552,0,18928,5368709120,10,16,61440,4096,512,0,0,0,0.30140680731160896,6.076669605485984,6,1436498315,0,0,240,34,0,0
1969,1,3,1,0,0,0,1,0,2048,91648,0,4640,4194304,4,16,110592,4096,512,1,0,0,2.006387977875609,7.757354907849256,5,1332898842,0,0,224,270,0,2
1970,1,7,1,1,1,0,1,0,143360,61440,0,77738,1677721600,4,16,225280,4096,4096,0,0,0,2.5972473294727156,6.6443635434325525,5,1333758254,0,0,224,8450,0,439
1971,1,7,1,1,1,0,1,0,143360,61440,0,77738,1677721600,4,16,225280,4096,4096,0,0,0,2.5972473294727156,6.6443635434325525,5,1333758254,0,0,224,8450,0,439
1972,1,4,0,1,0,0,1,0,284672,26624,0,282192,4194304,4,16,323584,4096,512,1,2,0,0.16032872589902852,7.5671309073771,6,1334337904,0,0,224,270,0,762
1973,1,5,0,1,0,0,1,1,24576,420539,397312,6469,4259840,4,16,856064,4096,4096,1,0,0,2.657406349289959,7.639134056410916,4,1333049649,0,0,224,271,0,0
1974,1,3,1,1,0,0,1,0,145408,46592,0,5248,4194304,4,16,217088,4096,512,0,5,5,0.12943919267108936,6.047103526371556,8,1342261208,0,0,224,270,0,0
1975,1,3,0,1,0,0,1,0,12288,376832,0,5592,4194304,4,16,823296,4096,4096,1,0,0,5.960276102221578,7.922733770686714,4,1343718681,0,0,224,271,0,0
1976,1,5,0,1,0,1,1,0,36864,393216,0,5776,4194304,4,16,823296,4096,4096,1,0,0,3.966053213385502,7.736491695544704,4,1344630696,0,0,224,271,0,0
1977,1,1,0,0,0,0,1,0,103424,5632,0,5168,4194304,4,16,122880,4096,512,0,1,0,1.4962965553968912,7.121896700074159,5,1335175289,0,0,224,270,0,2
